estado,NameState,year,Homicides,MortInfResp,Poverty,AccessHealth,WomenActiveEcon,Analfabeto,AveSchool,LifeExp,MortInf,HospBeds,DocNurse,NetMigration,WomenAdmin,AveSalary,GDPpc
01,Aguascalientes,2001,2.1,7.72320049428483,46.9405468409819,63.2217541168234,36.7404720022896,4.6,8.05484165817408,74.6126874711221,16.2344817453904,0.742761635400097,3.03975485828744,-0.516691807329243,0.496867408259813,4175.12338236538,65588.2861815903
02,Baja California,2001,95.0,38.977690400889,39.2336798997692,61.6258152250899,34.2708207822735,3.4,8.28289679210043,72.4972876912282,19.328394690332,0.611137038867722,2.25633265020217,1.32969572591278,0.212227125625184,5878.25884103573,86256.5964095851
03,Baja California Sur,2001,1.0,30.7166580276066,32.7070355639628,66.2442380924253,33.1361355982417,4,8.51401876243108,74.7219729360986,16.1028964958477,1.06804427088591,4.08056560337233,1.40298631791582,0.123853311439518,5329.0326323059,86880.1616977032
04,Campeche,2001,7.3,2.50686253619283,70.3502219453752,44.8733339333416,35.2860374648559,11.3,7.39073522161207,73.8444156446207,16.8646991184362,0.829889693733751,3.24147241304465,0.185432095998924,0.32637072084609,3804.30505813588,88686.329182011
05,Coahuila,2001,4.8,21.2070019050358,23.1530815692677,75.5136832949367,33.6342675395148,3.7,8.57955214612624,74.6494253198179,13.9388250296665,0.84289835588503,2.8502079978288,-0.269722452596166,0.220137632238307,4519.39660161303,86799.8927578558
06,Colima,2001,10.0,10.2599179206566,35.4867151519719,52.269346968015,38.6668038981194,6.9,7.80908662231833,74.616821207058,16.0475724991854,0.851033225752073,3.54037304470285,-0.277793708599776,0.310883280757098,4151.47054002236,69880.333539307
07,Chiapas,2001,29.5,64.4017596439119,83.853222406105,21.5093805850611,29.9866692877603,22.4,5.71046761060566,70.709456937503,25.365203685348,0.302472805427824,1.49837008542542,-0.466716825910473,0.544492739649421,1957.11943922624,27594.0225872294
08,Chihuahua,2001,15.7,45.8111094915264,50.9274095435669,62.3365340255452,33.8674394755069,4.7,7.91513560185083,72.2693901849555,19.5461124125274,0.718048472047323,2.27537438300257,0.249943582288512,0.193874654156141,4682.33333103801,63036.8481893465
09,Ciudad de México,2001,9.0,30.8721786258978,28.9345117840734,58.5686448362316,40.7560886825635,2.8,9.76240462251061,74.6917893786522,15.3332778243911,1.25509518341164,4.32627467906722,-1.08664879168685,0.528628017459883,5023.76737161304,132042.484298106
10,Durango,2001,21.2,37.6317109884596,75.7884292752883,54.2373343348313,31.2066287339014,5.2,7.47950152781203,74.4855035715239,18.4808772399037,0.718617417781639,2.76894293922662,-1.1494830699625,0.339068593243299,3402.06573438041,56234.4764823049
11,Guanajuato,2001,4.5,28.2711395036166,53.222371466284,41.6366995240899,37.1751991640607,11.5,6.58382372589344,73.9745095216323,20.1980008913223,0.47157372395919,1.52253438499105,-1.29514568890123,0.20571901396311,3627.3462132921,49134.3586165357
